time,vehicle_id,cargo_id,imei,lat,lng,speed,heading,accuracy
2026-07-02 20:10:24.583+08,1,SH-HZ-20260629-0291,861234567890123,29.61964,106.50522,0,0,5
2026-07-02 20:10:27.549+08,1,SH-HZ-20260629-0291,861234567890123,29.61961,106.50519,0,0,5
2026-07-02 20:10:30.552+08,1,SH-HZ-20260629-0291,861234567890123,29.61958,106.50518,0,0,5
2026-07-02 20:10:33.567+08,1,SH-HZ-20260629-0291,861234567890123,29.61958,106.50515,0,0,5
2026-07-02 20:10:36.553+08,1,SH-HZ-20260629-0291,861234567890123,29.61957,106.50512,0,0,5
2026-07-02 20:10:39.531+08,1,SH-HZ-20260629-0291,861234567890123,29.61956,106.50515,0,0,5
2026-07-02 20:10:42.582+08,1,SH-HZ-20260629-0291,861234567890123,29.6195,106.50518,0,0,5
2026-07-02 20:10:45.552+08,1,SH-HZ-20260629-0291,861234567890123,29.61945,106.50516,0,0,5
2026-07-02 20:10:48.627+08,1,SH-HZ-20260629-0291,861234567890123,29.61941,106.50516,0,0,5
2026-07-02 20:10:51.555+08,1,SH-HZ-20260629-0291,861234567890123,29.61936,106.50515,0,0,5
2026-07-02 20:10:54.532+08,1,SH-HZ-20260629-0291,861234567890123,29.61937,106.50512,0,0,5
2026-07-02 20:10:57.539+08,1,SH-HZ-20260629-0291,861234567890123,29.61937,106.50509,0,0,5
2026-07-02 20:11:00.581+08,1,SH-HZ-20260629-0291,861234567890123,29.61939,106.50506,0,0,5
2026-07-02 20:11:03.529+08,1,SH-HZ-20260629-0291,861234567890123,29.6195,106.50502,0,0,5
2026-07-02 20:11:06.525+08,1,SH-HZ-20260629-0291,861234567890123,29.61956,106.50496,0,0,5
2026-07-02 20:11:09.515+08,1,SH-HZ-20260629-0291,861234567890123,29.61957,106.50493,0,0,5
2026-07-02 20:11:12.532+08,1,SH-HZ-20260629-0291,861234567890123,29.6196,106.5049,0,0,5
2026-07-02 20:11:15.602+08,1,SH-HZ-20260629-0291,861234567890123,29.61962,106.50489,0,0,5
2026-07-02 20:11:18.528+08,1,SH-HZ-20260629-0291,861234567890123,29.61961,106.50486,0,0,5
2026-07-02 20:11:21.59+08,1,SH-HZ-20260629-0291,861234567890123,29.61962,106.50483,0,0,5
2026-07-02 20:11:24.518+08,1,SH-HZ-20260629-0291,861234567890123,29.61961,106.5048,0,0,5
2026-07-02 20:11:27.531+08,1,SH-HZ-20260629-0291,861234567890123,29.61961,106.50477,0,0,5
2026-07-02 20:11:30.517+08,1,SH-HZ-20260629-0291,861234567890123,29.61962,106.50474,0,0,5
2026-07-02 20:11:33.501+08,1,SH-HZ-20260629-0291,861234567890123,29.61961,106.5047,0,0,5
2026-07-02 20:11:36.532+08,1,SH-HZ-20260629-0291,861234567890123,29.61961,106.50467,0,0,5
2026-07-02 20:11:39.556+08,1,SH-HZ-20260629-0291,861234567890123,29.61961,106.50464,0,0,5
2026-07-02 20:11:42.573+08,1,SH-HZ-20260629-0291,861234567890123,29.61962,106.50463,0,0,5
2026-07-02 20:11:45.527+08,1,SH-HZ-20260629-0291,861234567890123,29.61965,106.50463,0,0,5
2026-07-02 20:11:48.547+08,1,SH-HZ-20260629-0291,861234567890123,29.61966,106.50463,0,0,5
2026-07-02 20:11:51.517+08,1,SH-HZ-20260629-0291,861234567890123,29.61969,106.5046,0,0,5
2026-07-02 20:11:54.551+08,1,SH-HZ-20260629-0291,861234567890123,29.61972,106.50458,0,0,5
2026-07-02 20:11:57.557+08,1,SH-HZ-20260629-0291,861234567890123,29.61973,106.50455,0,0,5
2026-07-02 20:12:00.55+08,1,SH-HZ-20260629-0291,861234567890123,29.61973,106.50452,0,0,5
2026-07-02 20:12:03.567+08,1,SH-HZ-20260629-0291,861234567890123,29.61977,106.50448,0,0,5
2026-07-02 20:12:06.536+08,1,SH-HZ-20260629-0291,861234567890123,29.61981,106.50447,0,0,5
2026-07-02 20:12:09.529+08,1,SH-HZ-20260629-0291,861234567890123,29.61982,106.50445,0,0,5
2026-07-02 20:12:12.578+08,1,SH-HZ-20260629-0291,861234567890123,29.61982,106.50441,0,0,5
2026-07-02 20:12:15.515+08,1,SH-HZ-20260629-0291,861234567890123,29.61983,106.50438,0,0,5
2026-07-02 20:12:18.563+08,1,SH-HZ-20260629-0291,861234567890123,29.61985,106.50436,0,0,5
2026-07-02 20:12:24.637+08,1,SH-HZ-20260629-0291,861234567890123,29.61989,106.50435,0,0,5
2026-07-02 20:12:27.578+08,1,SH-HZ-20260629-0291,861234567890123,29.61993,106.50426,0,0,5
2026-07-02 20:12:30.534+08,1,SH-HZ-20260629-0291,861234567890123,29.62002,106.50425,0,0,5
2026-07-02 20:12:33.551+08,1,SH-HZ-20260629-0291,861234567890123,29.62005,106.50422,0,0,5
2026-07-02 20:12:36.559+08,1,SH-HZ-20260629-0291,861234567890123,29.62005,106.50415,0,0,5
